Date,Time,Lat,Lon,Wind,Pressure
Aug 25,17:00 GMT,26.9,-96.2,110,947
Aug 25,18:00 GMT,27.1,-96.3,110,945
Aug 25,19:00 GMT,27.2,-96.4,120,943
Aug 25,20:00 GMT,27.4,-96.4,120,943
Aug 25,21:00 GMT,27.5,-96.5,125,941
Aug 25,22:00 GMT,27.6,-96.6,125,941
Aug 25,23:00 GMT,27.7,-96.7,130,941
Aug 26,00:00 GMT,27.8,-96.8,130,941
Aug 26,01:00 GMT,27.9,-96.8,130,941
Aug 26,02:00 GMT,27.9,-96.9,130,941
Aug 26,03:00 GMT,28.0,-97.0,130,938
Aug 26,04:00 GMT,28.1,-97.0,130,938
Aug 26,05:00 GMT,28.1,-97.0,130,940
Aug 26,06:00 GMT,28.2,-97.0,125,942
Aug 26,07:00 GMT,28.3,-97.1,115,950
Aug 26,08:00 GMT,28.4,-97.2,110,954
Aug 26,09:00 GMT,28.5,-97.2,100,963
Aug 26,10:00 GMT,28.5,-97.2,90,967
Aug 26,11:00 GMT,28.6,-97.2,85,972
Aug 26,12:00 GMT,28.7,-97.2,80,975
Aug 26,13:00 GMT,28.7,-97.3,80,978
Aug 26,14:00 GMT,28.9,-97.3,75,982
Aug 26,15:00 GMT,28.9,-97.3,75,984
Aug 26,18:00 GMT,29.1,-97.6,70,987
Aug 26,21:00 GMT,29.1,-97.6,65,990
Aug 27,03:00 GMT,29.3,-97.3,50,994
Aug 27,06:00 GMT,29.3,-97.4,45,998
Aug 27,09:00 GMT,29.2,-97.7,45,998
Aug 27,12:00 GMT,29.0,-97.6,45,998
Aug 27,15:00 GMT,29.0,-97.4,40,1000
Aug 27,18:00 GMT,29.0,-97.2,40,1000
Aug 27,21:00 GMT,29.0,-97.0,40,1000
Aug 28,00:00 GMT,28.9,-96.8,40,1000
Aug 28,03:00 GMT,28.8,-96.6,40,1000
Aug 28,06:00 GMT,28.7,-96.4,40,999
Aug 28,09:00 GMT,28.6,-96.3,40,998
Aug 28,12:00 GMT,28.6,-96.1,40,997
Aug 28,15:00 GMT,28.5,-96.0,40,997
Aug 28,18:00 GMT,28.6,-95.8,40,998
Aug 28,21:00 GMT,28.5,-95.7,45,997
Aug 29,00:00 GMT,28.2,-95.5,45,997
Aug 29,03:00 GMT,28.2,-95.3,45,997
Aug 29,06:00 GMT,28.0,-95.0,45,997
Aug 29,09:00 GMT,28.1,-94.8,45,997
Aug 29,12:00 GMT,28.2,-94.6,45,997
Aug 29,15:00 GMT,28.4,-94.3,45,997
Aug 29,18:00 GMT,28.8,-94.3,45,997
Aug 29,21:00 GMT,29.2,-94.3,50,994
Aug 30,00:00 GMT,28.7,-93.9,50,994
Aug 30,03:00 GMT,29.0,-93.6,50,994
Aug 30,06:00 GMT,29.2,-93.5,45,995
Aug 30,09:00 GMT,29.8,-93.4,45,990
Aug 30,12:00 GMT,30.2,-93.6,45,992
Aug 30,15:00 GMT,30.5,-93.3,45,993
Aug 30,18:00 GMT,30.6,-93.3,40,995
Aug 30,21:00 GMT,30.8,-93.1,40,998
Aug 31,00:00 GMT,31.2,-92.6,35,998
Aug 31,03:00 GMT,31.7,-92.3,35,998
Aug 31,09:00 GMT,32.3,-92.0,30,998
Aug 31,15:00 GMT,32.5,-91.4,15,1002
Aug 31,21:00 GMT,33.8,-90.5,15,1000
Sep 1,03:00 GMT,34.3,-89.0,30,1000
Sep 1,09:00 GMT,35.7,-87.2,30,1001
Sep 1,15:00 GMT,36.4,-87.1,25,1002
Sep 1,21:00 GMT,36.7,-85.4,15,1005
Sep 2,03:00 GMT,37.5,-84.8,25,1009
Sep 2,09:00 GMT,38.2,-85.0,15,1010
Sep 2,15:00 GMT,38.1,-84.9,15,1013
